resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
1,2024,1,max_verstappen,red_bull,1,1,1,26.00,57,Finished,1:31:44.742,1:32.608,1,210.383
2,2024,1,perez,red_bull,5,2,2,18.00,57,Finished,+22.457,1:34.364,4,206.468
3,2024,1,sainz,ferrari,4,3,3,15.00,57,Finished,+25.110,1:34.507,6,206.156
4,2024,1,leclerc,ferrari,2,4,4,12.00,57,Finished,+39.669,1:34.090,2,207.069
5,2024,1,russell,mercedes,3,5,5,10.00,57,Finished,+46.788,1:35.065,12,204.946
6,2024,1,norris,mclaren,7,6,6,8.00,57,Finished,+48.458,1:34.476,5,
7,2024,1,hamilton,mercedes,9,7,7,6.00,57,Finished,+50.324,1:34.722,7,205.688
8,2024,1,piastri,mclaren,8,8,8,4.00,57,Finished,+56.082,1:34.983,11,
9,2024,1,alonso,aston_martin,6,9,9,2.00,57,Finished,+1:14.887,1:34.199,3,206.83
10,2024,1,stroll,aston_martin,12,10,10,1.00,57,Finished,+1:33.216,1:35.632,16,203.73
11,2024,1,zhou,sauber,17,11,11,0.00,56,Lapped,+6.759,1:35.458,14,204.102
12,2024,1,kevin_magnussen,haas,15,12,12,0.00,56,Lapped,+8.316,1:35.570,15,203.863
13,2024,1,ricciardo,rb,14,13,13,0.00,56,Lapped,+8.958,1:35.163,13,204.735
14,2024,1,tsunoda,rb,11,14,14,0.00,56,Lapped,+9.482,1:35.833,18,203.303
15,2024,1,albon,williams,13,15,15,0.00,56,Lapped,+11.886,1:35.723,17,203.537
16,2024,1,hulkenberg,haas,10,16,16,0.00,56,Lapped,+17.632,1:34.834,10,205.445
17,2024,1,ocon,alpine,19,17,17,0.00,56,Lapped,+31.450,1:36.226,20,202.473
18,2024,1,gasly,alpine,20,18,18,0.00,56,Lapped,+32.417,1:34.805,9,205.508
19,2024,1,bottas,sauber,16,19,19,0.00,56,Lapped,+1:23.230,1:36.202,19,202.523
20,2024,1,sargeant,williams,18,20,20,0.00,55,Lapped,+20.795,1:34.735,8,205.659
21,2024,2,max_verstappen,red_bull,1,1,1,25.00,50,Finished,1:20:43.273,1:31.773,3,242.188
22,2024,2,perez,red_bull,3,2,2,18.00,50,Finished,+13.643,1:32.273,8,240.876
23,2024,2,leclerc,ferrari,2,3,3,16.00,50,Finished,+18.639,1:31.632,1,242.561
24,2024,2,piastri,mclaren,5,4,4,12.00,50,Finished,+32.007,1:32.310,10,
25,2024,2,alonso,aston_martin,4,5,5,10.00,50,Finished,+35.759,1:32.387,13,240.579
26,2024,2,russell,mercedes,7,6,6,8.00,50,Finished,+39.936,1:32.254,7,240.926
27,2024,2,bearman,ferrari,11,7,7,6.00,50,Finished,+42.679,1:32.186,5,241.103
28,2024,2,norris,mclaren,6,8,8,4.00,50,Finished,+45.708,1:31.944,4,
29,2024,2,hamilton,mercedes,8,9,9,2.00,50,Finished,+47.391,1:31.746,2,242.26
30,2024,2,hulkenberg,haas,15,10,10,1.00,50,Finished,+1:16.996,1:32.366,12,240.633
31,2024,2,albon,williams,12,11,11,0.00,50,Finished,+1:28.354,1:32.307,9,240.787
32,2024,2,kevin_magnussen,haas,13,12,12,0.00,50,Finished,+1:45.737,1:32.338,11,240.706
33,2024,2,ocon,alpine,17,13,13,0.00,49,Lapped,+4.001,1:33.481,17,237.763
34,2024,2,sargeant,williams,19,14,14,0.00,49,Lapped,+6.785,1:33.026,15,
35,2024,2,tsunoda,rb,9,15,15,0.00,49,Lapped,+10.533,1:33.523,18,
36,2024,2,ricciardo,rb,14,16,16,0.00,49,Lapped,+20.715,1:33.323,16,238.166
